Employee ID,Department,Job Role,Job Level,Location,Age Band,Tenure (Years),Years in Current Role,Years Since Last Promotion,Monthly Salary,Salary Band,Salary Hike %,Performance Rating,Job Satisfaction Score,Work-Life Balance Score,Manager Satisfaction Score,Engagement Score,Training Hours,Overtime,Business Travel Frequency,Absence Days,Promotion Status,Remote/Hybrid/Office,Distance From Office,Internal Mobility,Recognition Received,Attrition,Attrition Type,Exit Reason,Attrition Risk Score,Risk Category,Join Date,Exit Date,Tenure Band
EMP1001,HR,HR Executive,L1,Delhi NCR,36-40,1.1,0.5,1.1,27000,<35K,3.6,4.2,3.5,3.4,2.6,3.9,35,No,None,11,Recent,Hybrid,26.9,No,No,No,Not Applicable,Not Applicable,30,Low Risk,2011-07-21,,1–2 Years
EMP1002,Customer Support,Customer Support Specialist,L1,Delhi NCR,21-25,1.7,0.6,1.7,28500,<35K,8.9,2.8,4.5,2.4,5.0,4.5,29,No,Frequent,10,Recent,Office,18.9,No,Yes,No,Not Applicable,Not Applicable,29,Low Risk,2015-02-07,,1–2 Years
EMP1003,IT,Software Engineer,L1,Bengaluru,21-25,1.5,0.5,1.5,30000,<35K,10.4,2.9,3.3,1.7,2.9,3.3,0,No,Occasional,5,Recent,Remote,2.9,Yes,No,No,Not Applicable,Not Applicable,30,Low Risk,2019-06-14,,1–2 Years
EMP1004,IT,Software Engineer,L1,Delhi NCR,26-30,5.4,1.6,3.6,26500,<35K,7.8,3.5,3.3,2.9,2.3,3.8,5,No,Occasional,8,Due Soon,Office,13.4,No,No,No,Not Applicable,Not Applicable,25,Low Risk,2019-07-11,,6–10 Years
EMP1005,Marketing,Marketing Executive,L1,Hyderabad,26-30,8.0,3.0,4.3,26000,<35K,6.9,3.1,4.0,1.3,3.2,3.8,25,No,None,10,Overdue,Remote,15.7,Yes,No,No,Not Applicable,Not Applicable,38,Medium Risk,2018-02-03,,6–10 Years
EMP1006,Marketing,Marketing Executive,L2,Mumbai,36-40,6.1,4.2,5.4,39500,35K-55K,8.2,2.3,3.3,2.6,5.0,4.0,21,No,None,6,Overdue,Hybrid,13.1,No,Yes,No,Not Applicable,Not Applicable,33,Low Risk,2025-10-22,,6–10 Years
EMP1007,Sales,Sales Executive,L1,Bengaluru,31-35,7.2,5.9,3.6,26000,<35K,7.9,3.2,3.9,2.9,4.2,3.9,28,No,Occasional,10,Due Soon,Office,13.2,Yes,No,No,Not Applicable,Not Applicable,25,Low Risk,2016-05-02,,6–10 Years
EMP1008,Customer Support,Customer Support Specialist,L2,Mumbai,26-30,2.0,1.6,1.8,44000,35K-55K,10.0,3.1,4.3,2.5,3.9,4.4,21,No,None,7,Recent,Hybrid,21.6,No,No,No,Not Applicable,Not Applicable,25,Low Risk,2020-11-13,,1–2 Years
EMP1009,IT,Software Engineer,L2,Mumbai,26-30,2.9,2.0,2.9,35000,<35K,9.4,3.8,3.0,3.2,4.1,4.1,49,No,None,8,Due Soon,Hybrid,1.0,No,Yes,No,Not Applicable,Not Applicable,25,Low Risk,2021-11-07,,3–5 Years
EMP1010,IT,Software Engineer,L3,Guwahati,41-50,3.1,1.0,3.0,56000,55K-80K,9.4,2.6,1.0,3.0,2.7,2.4,0,No,Occasional,0,Due Soon,Remote,13.0,No,No,No,Not Applicable,Not Applicable,59,High Risk,2012-11-24,,3–5 Years
EMP1011,Sales,Sales Executive,L1,Delhi NCR,26-30,5.1,2.2,3.1,32500,<35K,7.1,3.8,2.6,2.9,3.7,3.7,32,Yes,None,1,Due Soon,Hybrid,2.3,No,No,Yes,Voluntary,Better Compensation,35,Medium Risk,2015-09-16,1769558400000000000,6–10 Years
EMP1012,Customer Support,Customer Support Specialist,L3,Pune,26-30,2.2,1.0,2.2,61000,55K-80K,8.0,3.1,4.4,1.0,3.4,3.3,40,No,Occasional,1,Recent,Remote,18.1,No,No,No,Not Applicable,Not Applicable,30,Low Risk,2025-09-07,,3–5 Years
EMP1013,Product,Product Analyst,L3,Mumbai,21-25,6.9,2.8,0.6,66000,55K-80K,8.0,2.5,3.3,2.0,4.9,3.5,38,No,Occasional,8,Recent,Hybrid,5.3,No,No,Yes,Voluntary,Job Role Mismatch,30,Low Risk,2021-10-08,1771113600000000000,6–10 Years
EMP1014,Marketing,Marketing Executive,L1,Hyderabad,36-40,9.7,5.7,0.5,24000,<35K,3.4,2.3,3.0,3.8,3.3,3.5,39,No,None,13,Recent,Hybrid,1.0,Yes,No,Yes,Voluntary,Career Growth,35,Medium Risk,2021-03-21,1768521600000000000,6–10 Years
EMP1015,Marketing,Marketing Executive,L4,Hyderabad,31-35,5.3,3.2,2.0,91000,80K-110K,10.2,4.5,4.4,4.0,3.1,4.4,41,No,Occasional,6,Recent,Office,18.3,No,No,No,Not Applicable,Not Applicable,25,Low Risk,2018-04-13,,6–10 Years
EMP1016,Marketing,Marketing Executive,L4,Pune,26-30,2.8,1.3,2.5,84000,80K-110K,2.0,3.1,3.2,1.5,2.4,3.3,20,No,None,11,Due Soon,Office,9.9,No,No,No,Not Applicable,Not Applicable,35,Medium Risk,2015-09-18,,3–5 Years
EMP1017,Finance,Financial Analyst,L1,Delhi NCR,21-25,1.9,0.9,1.0,24000,<35K,9.1,3.8,1.4,2.4,3.5,3.0,13,No,Occasional,10,Recent,Remote,14.9,No,No,No,Not Applicable,Not Applicable,43,Medium Risk,2025-06-29,,1–2 Years
EMP1018,Operations,Operations Analyst,L1,Delhi NCR,31-35,1.5,1.2,1.5,31500,<35K,7.8,2.1,1.9,4.2,3.6,3.4,0,No,None,8,Recent,Hybrid,23.4,No,No,No,Not Applicable,Not Applicable,43,Medium Risk,2022-02-03,,1–2 Years
EMP1019,Operations,Operations Analyst,L3,Bengaluru,31-35,0.5,0.4,0.5,72000,55K-80K,6.1,4.9,3.7,2.5,2.4,3.5,23,No,None,10,Recent,Remote,15.0,No,No,No,Not Applicable,Not Applicable,30,Low Risk,2017-04-10,,Less than 1 Year
EMP1020,Finance,Financial Analyst,L3,Bengaluru,26-30,3.2,1.4,0.2,64500,55K-80K,8.2,3.8,3.2,3.1,3.8,4.3,17,Yes,Occasional,8,Recent,Remote,13.4,Yes,No,No,Not Applicable,Not Applicable,35,Medium Risk,2022-07-01,,3–5 Years
EMP1021,IT,Software Engineer,L1,Bengaluru,41-50,3.0,2.5,3.0,30500,<35K,8.3,3.0,4.6,4.6,3.6,3.5,44,No,None,6,Due Soon,Remote,11.6,Yes,Yes,No,Not Applicable,Not Applicable,25,Low Risk,2018-05-22,,3–5 Years
EMP1022,Sales,Sales Executive,L1,Delhi NCR,21-25,6.6,5.7,2.1,33000,<35K,3.1,3.0,2.6,2.9,4.3,3.6,24,Yes,Frequent,9,Recent,Office,2.8,Yes,Yes,No,Not Applicable,Not Applicable,44,Medium Risk,2020-03-28,,6–10 Years
EMP1023,Finance,Financial Analyst,L2,Mumbai,26-30,2.4,1.1,2.4,45000,35K-55K,11.2,3.7,3.0,2.7,4.4,4.5,14,Yes,None,14,Recent,Office,10.3,Yes,Yes,No,Not Applicable,Not Applicable,40,Medium Risk,2013-10-07,,3–5 Years
